product_name,us_price,us_platform,category,nordic_availability,estimated_demand,languages_needed,source,source_url,scanned_at
Stanley Quencher Tumbler,$35-45,Amazon/TikTok Shop,kitchen,NORWAY: finn.no=CHECK_FAILED; komplett.no=ERROR; elkjop.no=UNCERTAIN | SWEDEN: cdon.com=CHECK_FAILED; tradera.com=LIKELY_AVAILABLE; blocket.se=CHECK_FAILED | DENMARK: dba.dk=CHECK_FAILED; proshop.dk=CHECK_FAILED; elgiganten.dk=UNCERTAIN | FINLAND: tori.fi=CHECK_FAILED; verkkokauppa.com=UNCERTAIN; gigantti.fi=UNCERTAIN,90,Finnish,viral_verified,https://www.amazon.com/s?k=Stanley+Quencher+Tumbler,2026-03-01 02:47:23
Portable Neck Fan,$15-25,Amazon/TikTok Shop,electronics,NORWAY: finn.no=CHECK_FAILED; komplett.no=ERROR; elkjop.no=UNCERTAIN | SWEDEN: cdon.com=CHECK_FAILED; tradera.com=LIKELY_AVAILABLE; blocket.se=CHECK_FAILED | DENMARK: dba.dk=CHECK_FAILED; proshop.dk=CHECK_FAILED; elgiganten.dk=UNCERTAIN | FINLAND: tori.fi=CHECK_FAILED; verkkokauppa.com=UNCERTAIN; gigantti.fi=UNCERTAIN,90,Finnish,viral_verified,https://www.amazon.com/s?k=Portable+Neck+Fan,2026-03-01 02:47:23
LED Strip Lights Smart WiFi,$12-20,Amazon,home_kitchen,NORWAY: finn.no=CHECK_FAILED; komplett.no=ERROR; elkjop.no=UNCERTAIN | SWEDEN: cdon.com=CHECK_FAILED; tradera.com=LIKELY_AVAILABLE; blocket.se=CHECK_FAILED | DENMARK: dba.dk=CHECK_FAILED; proshop.dk=CHECK_FAILED; elgiganten.dk=UNCERTAIN | FINLAND: tori.fi=CHECK_FAILED; verkkokauppa.com=UNCERTAIN; gigantti.fi=UNCERTAIN,90,Finnish,viral_verified,https://www.amazon.com/s?k=LED+Strip+Lights+Smart+WiFi,2026-03-01 02:47:23
Ice Roller Face Massager,$8-15,Amazon/TikTok Shop,beauty,NORWAY: finn.no=CHECK_FAILED; komplett.no=ERROR; elkjop.no=UNCERTAIN | SWEDEN: cdon.com=CHECK_FAILED; tradera.com=LIKELY_AVAILABLE; blocket.se=CHECK_FAILED | DENMARK: dba.dk=CHECK_FAILED; proshop.dk=CHECK_FAILED; elgiganten.dk=UNCERTAIN | FINLAND: tori.fi=CHECK_FAILED; verkkokauppa.com=UNCERTAIN; gigantti.fi=UNCERTAIN,90,Finnish,viral_verified,https://www.amazon.com/s?k=Ice+Roller+Face+Massager,2026-03-01 02:47:23
Portable Blender USB Rechargeable,$20-30,Amazon/TikTok Shop,kitchen,NORWAY: finn.no=CHECK_FAILED; komplett.no=ERROR; elkjop.no=UNCERTAIN | SWEDEN: cdon.com=CHECK_FAILED; tradera.com=LIKELY_AVAILABLE; blocket.se=CHECK_FAILED | DENMARK: dba.dk=CHECK_FAILED; proshop.dk=CHECK_FAILED; elgiganten.dk=UNCERTAIN | FINLAND: tori.fi=CHECK_FAILED; verkkokauppa.com=UNCERTAIN; gigantti.fi=UNCERTAIN,90,Finnish,viral_verified,https://www.amazon.com/s?k=Portable+Blender+USB+Rechargeable,2026-03-01 02:47:23
Sunset Lamp Projector,$15-25,Amazon/TikTok,home_kitchen,NORWAY: finn.no=CHECK_FAILED; komplett.no=ERROR; elkjop.no=UNCERTAIN | SWEDEN: cdon.com=CHECK_FAILED; tradera.com=LIKELY_AVAILABLE; blocket.se=CHECK_FAILED | DENMARK: dba.dk=CHECK_FAILED; proshop.dk=CHECK_FAILED; elgiganten.dk=UNCERTAIN | FINLAND: tori.fi=CHECK_FAILED; verkkokauppa.com=UNCERTAIN; gigantti.fi=UNCERTAIN,90,Finnish,viral_verified,https://www.amazon.com/s?k=Sunset+Lamp+Projector,2026-03-01 02:47:23
Cable Management Box,$10-15,Amazon,electronics,NORWAY: finn.no=CHECK_FAILED; komplett.no=ERROR; elkjop.no=UNCERTAIN | SWEDEN: cdon.com=CHECK_FAILED; tradera.com=LIKELY_AVAILABLE; blocket.se=CHECK_FAILED | DENMARK: dba.dk=CHECK_FAILED; proshop.dk=CHECK_FAILED; elgiganten.dk=UNCERTAIN | FINLAND: tori.fi=CHECK_FAILED; verkkokauppa.com=UNCERTAIN; gigantti.fi=UNCERTAIN,90,Finnish,viral_verified,https://www.amazon.com/s?k=Cable+Management+Box,2026-03-01 02:47:23
Electric Spin Scrubber,$25-40,Amazon/TikTok Shop,home_kitchen,NORWAY: finn.no=CHECK_FAILED; komplett.no=ERROR; elkjop.no=UNCERTAIN | SWEDEN: cdon.com=CHECK_FAILED; tradera.com=LIKELY_AVAILABLE; blocket.se=CHECK_FAILED | DENMARK: dba.dk=CHECK_FAILED; proshop.dk=CHECK_FAILED; elgiganten.dk=UNCERTAIN | FINLAND: tori.fi=CHECK_FAILED; verkkokauppa.com=UNCERTAIN; gigantti.fi=UNCERTAIN,90,Finnish,viral_verified,https://www.amazon.com/s?k=Electric+Spin+Scrubber,2026-03-01 02:47:23
Scalp Massager Shampoo Brush,$5-10,Amazon,beauty,NORWAY: finn.no=CHECK_FAILED; komplett.no=ERROR; elkjop.no=UNCERTAIN | SWEDEN: cdon.com=CHECK_FAILED; tradera.com=LIKELY_AVAILABLE; blocket.se=CHECK_FAILED | DENMARK: dba.dk=CHECK_FAILED; proshop.dk=CHECK_FAILED; elgiganten.dk=UNCERTAIN | FINLAND: tori.fi=CHECK_FAILED; verkkokauppa.com=UNCERTAIN; gigantti.fi=UNCERTAIN,90,Finnish,viral_verified,https://www.amazon.com/s?k=Scalp+Massager+Shampoo+Brush,2026-03-01 02:47:23
Mini Projector Portable,$50-80,Amazon,electronics,NORWAY: finn.no=CHECK_FAILED; komplett.no=ERROR; elkjop.no=UNCERTAIN | SWEDEN: cdon.com=CHECK_FAILED; tradera.com=LIKELY_AVAILABLE; blocket.se=CHECK_FAILED | DENMARK: dba.dk=CHECK_FAILED; proshop.dk=CHECK_FAILED; elgiganten.dk=UNCERTAIN | FINLAND: tori.fi=CHECK_FAILED; verkkokauppa.com=UNCERTAIN; gigantti.fi=UNCERTAIN,90,Finnish,viral_verified,https://www.amazon.com/s?k=Mini+Projector+Portable,2026-03-01 02:47:23
Acupressure Mat and Pillow Set,$20-35,Amazon,health,NORWAY: finn.no=CHECK_FAILED; komplett.no=ERROR; elkjop.no=UNCERTAIN | SWEDEN: cdon.com=CHECK_FAILED; tradera.com=UNCERTAIN; blocket.se=CHECK_FAILED | DENMARK: dba.dk=CHECK_FAILED; proshop.dk=CHECK_FAILED; elgiganten.dk=UNCERTAIN | FINLAND: tori.fi=CHECK_FAILED; verkkokauppa.com=UNCERTAIN; gigantti.fi=UNCERTAIN,90,Finnish,viral_verified,https://www.amazon.com/s?k=Acupressure+Mat+and+Pillow+Set,2026-03-01 02:47:23
